dc1,dc2,c*Nx,V(mm鲁),P,,dc1,dc2,c*Nx,V(mm鲁),P,,dc1,dc2,c*Nx,V(mm鲁),P,,dc1,dc2,Nx*c,V(mm鲁),P
7,3.4,5,6754.27 ,0.83 ,,11.1,4.8,4,10577.39 ,0.57 ,,,,,,,,9.6,4.6,6,11159.232,0.933146887
7,3.6,5,5862.24 ,0.93 ,,11.1,4.8,6,15116.26 ,0.75 ,,,,,,,,9.6,4.8,6,9728.08,0.97794351
7,2,7.5,11321.86 ,0.99 ,,11.1,4.8,4,9931.64 ,0.72 ,,,,,,,,9.6,4.8,6,11292.08,0.949151084
7,1.2,5,6045.50 ,0.86 ,,11.1,4.8,4,11223.14 ,0.70 ,,,,,,,,9.6,5,6,9842.528,0.994136035
7,1.6,5,6263.36 ,0.87 ,,11.1,4.8,6,18160.38 ,0.91 ,,,,,,,,9.6,5.4,6,11690.624,0.985289648
7,1.8,5,5511.17 ,0.93 ,,11.1,4.8,4,10577.39 ,0.88 ,,,,,,,,9.6,5.6,6,11823.472,0.999488011
7,2.2,5,6590.14 ,0.91 ,,11.1,4.8,7.5,16812.95 ,0.87 ,,,,,,,,10,2.6,6,9603.36,0.990229905
7,2.4,5,5793.79 ,0.97 ,,11.1,4.8,7.5,18930.45 ,0.85 ,,,,,,,,10,4.6,6,12475.008,0.785236031
7,3,5,7025.86 ,0.96 ,,11.1,4.8,5,10838.93 ,0.88 ,,,,,,,,10,4.8,6,11011.8528,0.931764588
7,1.8,6,6114.29 ,0.81 ,,11.1,4.8,6,10767.51 ,0.73 ,,,,,,,,10,1.4,6,9803.8512,0.846355021
7,2,6,5157.94 ,0.98 ,,11.1,4.8,6,12507.01 ,0.71 ,,,,,,,,10,1.4,6,11095.5312,0.787663162
7,3.2,6,6788.30 ,0.82 ,,11.1,4.8,6,13376.76 ,0.98 ,,,,,,,,10,2.2,6,10372.1904,0.758583397
7,3.4,6,5717.71 ,0.99 ,,11.1,4.8,7,12302.63 ,0.99 ,,,,,,,,10,2.2,6,11738.7504,0.700194478
7,1.2,6,5331.74 ,0.91 ,,11.1,4.8,7,14290.13 ,0.97 ,,,,,,,,10,3.4,6,11224.6992,0.746447682
7,1.6,6,6528.00 ,0.82 ,,11.4,4.6,3,12469.36 ,0.68 ,,,,,,,,10,3.4,6,12703.5792,0.682182878
7,1.8,6,5596.13 ,0.92 ,,11.4,4.6,3,9153.04 ,0.53 ,,,,,,,,10,5,6,13990.0176,0.697561592
7,2.4,6,5860.51 ,0.93 ,,11.4,4.6,3,10811.20 ,0.62 ,,,,,,,,10,5.2,6,12503.4624,0.778600842
7,2.4,6,6945.79 ,0.86 ,,11.4,4.6,4.5,16994.06 ,0.83 ,,,,,,,,10,5.2,6,14150.8224,0.711843312
7,3.2,6,7363.58 ,0.89 ,,11.4,4.6,3,11363.92 ,0.74 ,,,,,,,,10,5.4,6,12645.5472,0.794540703
7,3.4,6,6301.15 ,0.99 ,,11.4,4.6,6,14538.36 ,0.64 ,,,,,,,,10,1.6,6,10928.736,0.756366998
7,3.4,6,7468.03 ,0.91 ,,11.4,4.6,4,9509.43 ,0.58 ,,,,,,,,10,2.2,6,11397.1104,0.722319216
7,1.2,6,6812.78 ,0.96 ,,11.4,4.6,4,11468.79 ,0.69 ,,,,,,,,10,2.8,6,11865.4848,0.721939623
7,1.6,6,7038.00 ,0.99 ,,11.4,4.6,6,18489.00 ,0.90 ,,,,,,,,10,2.8,6,13288.2048,0.690042347
7,2.2,7,6822.14 ,0.96 ,,11.4,4.6,4,10815.67 ,0.87 ,,,,,,,,10,3.6,6,12489.984,0.7390939
